NCT Number,Study Title,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Phases,Start Date,Completion Date,Locations
NCT00201474,"Acute, Affective, Organic Disorders.",COMPLETED,"The purpose of the study is to investigate whether patients with brief depressive periods together with other fluctuating psychiatric symptoms, have this condition due to epilepsy or an other organic brain disorder.",Depressive Disorders,,Norwegian University of Science and Technology,,1998-10,2010-06,"Østmarka Psychiatric Department, St. Olavs Hospital, Trondheim, 7441, Norway"
NCT04497493,Efficacy of Transcranial Direct Current Stimulation (tDCS) for the Treatment of Major Depressive Disorder,UNKNOWN,"The aim of this study is to assess the efficacy of Transcranial Direct Current Stimulation (tDCS) as an Add-on Treatment for the drug-naïve Major depressive disorder. Meanwhile, evaluate the effect of tDCS on cognitive function of drug-naïve MDD patients. Furthermore, the investigators will examine the changes in cortisol, gut microbiome and some biomarkers. The hypothesis of this study is that tDCS alleviate the depressive symptoms and improve the cognitive function of drug-naïve Major depressive disorder patients with regulating inflammatory response.",Major Depressive Disorders,DEVICE: Transcranial Direct Current Stimulation (tDCS)-active|DEVICE: Transcranial Direct Current Stimulation (tDCS)-sham,Tianjin Anding Hospital,NA,2020-05-22,2023-03,"Tianjin Anding Hospital, Tianjin, China"
NCT02972398,N-Acetyl Cysteine Supplementation in Therapy Refractory Major Depressive Disorders,UNKNOWN,"The aim of this study is to evaluate the efficacy of N-acetylcysteine (NAC) add-on to antidepressant medication in treating patients who do not relieve during standard antidepressant treatment for 6 weeks at least. Meanwhile, secondary outcomes will include changes in some biomarkers and on specifically local brain activity (functional Magnetic Resonance Imaging, fMRI) and white matter integrity (Diffusion Tensor Imaging, DTI). The hypothesis of this study is that NAC has positive effects on refractory major depressive disorder patients with increased inflammatory activity.",Major Depressive Disorders,DRUG: N-acetylcysteine|DRUG: placebo comparator of N-acetylcysteine,Tianjin Anding Hospital,NA,2015-09,2023-09,"Tianjin Anding Hospital, Tianjin, Tianjin Municipality, 300222, China"
NCT00010517,Acupuncture in the Treatment of Depression,COMPLETED,The current large randomized placebo-controlled trial is testing the ability of acupuncture to treat major depression. The study is unique in that treatment effects will be from the perspective of both Western psychiatry and Chinese medicine.,Depressive Disorders|Depression,PROCEDURE: Acupuncture,National Center for Complementary and Integrative Health (NCCIH),PHASE3,1997-09,2002-04,"University of Arizona, Tucson, Arizona, 85721-0068, United States"
NCT06615804,The Effects of Transcranial Magnetic Stimulation on Retina and Choroidal Structures,COMPLETED,"Transcranial Magnetic Stimulation (TMS) therapy is an approved and effective treatment option in treatment-resistant depression. The present study aims to investigate the effect of TMS treatment on eye structures such as retina, macula, and choroid. These patients will be evaluated using the Optic Coherence Tomography (OCT) device, which is routinely used in ophthalmology practice, before and after a month long TMS treatment. The main question it aims to answer is:

* Does TMS treatment influence the structures in eyes. The patients will visit the ophthalmology clinic before and after the TMS treatment.
* TMS treatment will be applied 5 days a week for 4 weeks.",Major Depressive Disorders,BIOLOGICAL: Transcranial Magnetic Stimulation,Gulhane Training and Research Hospital,NA,2022-12-01,2023-05-30,"Gulhane Training and Research Hospital, Ankara, 06000, Turkey (Türkiye)"
NCT03492619,Intervention for Women in Costa Rica,COMPLETED,"The study develops, implements, and evaluates an intervention focused on alleviating discouragement, food insecurity, and excess weight in women,targeted at the individual, family, and community levels in the Canton Central of the province of Alajuela, Costa Rica.",Obesity|Food Habits|Mental Depression,BEHAVIORAL: Intensive Intervention|BEHAVIORAL: Non-Intensive Intervention,University of South Carolina,NA,2017-02-01,2017-12-15,"Municipality of Alajuela, Alajuela, Costa Rica"
NCT00855530,Long Term Safety and Tolerability of SR58611 in Patients With Major Depressive Disorder,COMPLETED,"Primary objective:

\- To evaluate the long-term safety and tolerability of SR58611A (amibegron) patients with major depressive disorder (MDD).

Secondary objective:

\- To determine plasma concentrations of SR58878 (the active metabolite of SR58611A), for pharmacokinetic population analyses, to evaluate the quality of life (QoL) in patients with MDD, and to evaluate the efficacy of amibegron in patients with MDD.",Major Depressive Disorders,DRUG: amibegron (SR58611A),Sanofi,PHASE3,2005-09,2007-07,"Sanofi-Aventis Administrative Office, Buenos Aires, Argentina|Sanofi-Aventis Administrative Office, Santiago, Chile|Sanofi-Aventis Administrative Office, Athens, Greece|Sanofi-Aventis Administrative Office, Causeway Bay, Hong Kong|Sanofi-Aventis Administrative Office, Casablanca, Morocco|Sanofi-Aventis Administrative Office, Moscow, Russia|Sanofi-Aventis Administrative Office, Singapore, Singapore|Sanofi-Aventis Administrative Office, Midrand, South Africa|Sanofi-Aventis Administrative Office, Barcelona, Spain|Sanofi-Aventis Administrative Office, Taipei, Taiwan|Sanofi-Aventis Administrative Office, Mégrine, Tunisia"
NCT02942251,Relapse Predicting Model for First Episode Depression,UNKNOWN,Major depressive depression(MDD) is an severe public mental disorders. The purpose of current study is using big data analysis based on clinical features and immunochemistry to investigate and establish an relapse predict model for patients with first episode MDD.,Major Depressive Disorders,OTHER: Clinical features and medication|OTHER: Psycho-social|OTHER: immunology|OTHER: Laboratory abnormality|OTHER: Comorbidity|OTHER: Treatment as usual,Shanghai Mental Health Center,NA,2016-12,2019-12,
NCT02449447,Blended Depression Therapy: Cognitive Behaviour Therapy Face-to-face and Via Internet,COMPLETED,To asses the clinical effectiveness of blended cognitive behavior therapy (CBT): face-to-face and internet-based treatment for adults with Major Depressive Disorder (MDD) in primary care compared to treatment as usual.,Major Depressive Disorders,BEHAVIORAL: Cognitive behavioral therapy|OTHER: Treatment as usual,Linkoeping University,NA,2015-02,2017-06,"Department of Behavioral Sciences and Learning, Linköping University, Linköping, Östergötland County, 58183, Sweden"
NCT04807062,Treatment of Tibial Plateau Fractures With Bone-graft and Bone Tamp Technique,COMPLETED,"Autologous ICBG and bone tamp methods are often applied to manage depressed tibial plateau fracture (DTPF), but previous iliac bone harvesting and bone tamp techniques remain controversial. The purpose of this study is to describe and evaluate the technique of using structural bicortical autologous iliac crest bone-graft (ICBG) combined with tunnel bone tamps method (TBTM) in treating DTPFs.",Depressed Tibial Plateau Fractures,PROCEDURE: surgery,Hebei Medical University Third Hospital,NA,2016-01-01,2020-08-01,"the Third Hospital of Hebei Medical University, Shijiazhuang, Hebei, 050000, China"
NCT06188962,Evaluating Knowledge Insight Tools (KIT) for Reducing Anxiety and Low Mood in UK Secondary School Students,UNKNOWN,"Background and Study Aims:

Secondary school students are reporting unprecedented levels of anxiety and mood difficulties. To ensure that the needs of all young people are met, there is a need to evaluate more accessible forms of support, such as psychological therapies offered in schools. The aim of this trial is to test a new form of school-based psychological therapy called Knowledge Insight Tools (KIT). KIT is based on Cognitive Behavioural Therapy, which is known to be helpful for young people experiencing difficulties with anxiety and low mood. The investigators want to see whether offering KIT to secondary school students can reduce their anxiety and/or low mood, compared to a period of time when they did not receive any support.

Who can participate?

Children and young people aged 11-18 can participate if they are attending a secondary school in England or Scotland, are experiencing problems with low mood and/or anxiety that are disrupting their everyday lives and are not mainly the result of external factors, and are actively seeking support. Children and young people cannot participate if they pose a significant risk to themselves and/or others, if their primary difficulties are not related to anxiety and/or low mood, if they have significant special educational needs or learning difficulties, and are younger than 16 years and for whom it would pose significant issues if their parents/carers were informed of their involvement with Place2Be services.

What does the study involve?

The study starts with a waiting period, where each young person will not receive any support for 3-8 weeks, except for a weekly check-in with a trained professional. This is meant to provide a stable measurement of young people's mental health before KIT is introduced. The length of the waiting period for each young person is chosen at random by a computer program. This helps mix up the influence of things other than KIT that could impact young people's mental health, such as differences in the natural (and sometimes healing) passage of time. Young people will then be offered 10 sessions of KIT, where they will learn about the ways in which unhelpful thoughts and behaviours can inadvertently make them feel low or anxious. They will also be asked to practice ways of testing their unhelpful thoughts and changing their behaviours outside of sessions, and the investigators will review how this affects their mood and well-being over the course of treatment.

What are the possible benefits and risks of participating?

The main benefit of participating is that young people will be contributing to science, which will help young people struggling with anxiety and mood problems in future be offered forms of school-based psychological therapy that have been rigorously tested. The main risk is that young people might wait longer to start KIT than had they not participated in the study. Young people will still receive KIT if they refuse to participate or withdraw their participation, which they can do at any time.

Where is the study run from?

The study is run from secondary schools in the UK and is being conducted by the Evidence-Based Practice Unit (a research group and collaboration between University College London and the Anna Freud) and researchers and school-based practitioners from Place2Be.

When is the study starting and how long is it expected to run for?

The study started on 01/08/2022 with the recruitment of the first student. The study is expected to run until September 2024. There are plans to extend the study until September 2025 if another wave of recruitment is needed.

Who is funding the study?

The study is funded by Place2Be and Anna Freud, both UK-based charities.

Who is the main contact?

The main contact and principle investigator for the trial is Professor Jessica Deighton (j.deighton@ucl.ac.uk).",Anxiety|Depression|Internalizing Problems|Low Mood,BEHAVIORAL: CBT-informed school-based counselling,"University College, London",NA,2023-08-01,2024-10,"Place2Be services within UK schools, Multiple Cities Across the UK, United Kingdom, UK, United Kingdom"
